0 0 0.0121329 0.988169 6.70542e-07
0 0.16 0.0141433 0.986331 8.25322e-07
0 0.32 0.0216619 0.979189 1.45832e-06
0 0.48 0.0381608 0.96304 3.21686e-06
0 0.64 0.0730003 0.928419 8.23188e-06
0 0.8 0.148772 0.852938 2.30015e-05
0 0.96 0.305141 0.696858 6.3254e-05
0 1.12 0.547396 0.454708 0.000145912
0 1.28 0.766781 0.235279 0.000253735
0 1.44 0.890548 0.11144 0.000356106
0 1.6 0.947579 0.0543 0.000444319
0 1.76 0.972894 0.028835 0.000513171
0 1.92 0.98335 0.0181818 0.000552971
0 2.08 0.985242 0.016 0.000555362
0 2.24 0.979953 0.0210034 0.000519925
0 2.4 0.965094 0.0358298 0.000455196
0 2.56 0.931582 0.0697055 0.00037332
0 2.72 0.856133 0.146038 0.000282716
0 2.88 0.69739 0.305373 0.000186119
0 3.04 0.453656 0.547512 9.59957e-05
0 3.2 0.237709 0.762335 3.88157e-05
0 3.36 0.115294 0.885223 1.4161e-05
0 3.52 0.0574372 0.943545 5.32414e-06
0 3.68 0.0307287 0.970271 2.25197e-06
0 3.84 0.0187118 0.982069 1.17056e-06
0 4 0.0148923 0.985739 8.72719e-07
0 4.16 0.0174787 0.983151 1.0683e-06
0 4.32 0.027866 0.972872 1.97468e-06
0 4.48 0.052067 0.948918 4.67137e-06
0 4.64 0.106262 0.895294 1.27267e-05
0 4.8 0.225206 0.777201 3.61178e-05
0 4.96 0.440255 0.561769 9.17033e-05
0 5.12 0.683381 0.317324 0.000178994
0 5.28 0.845327 0.155348 0.000272209
0 5.44 0.925685 0.0755128 0.000359121
0 5.6 0.962703 0.0389336 0.000437198
0 5.76 0.979585 0.02222 0.000499553
0 5.92 0.98632 0.0155476 0.000535696
0 6.08 0.986592 0.0155092 0.000537709
0 6.24 0.980162 0.022105 0.000505042
0 6.4 0.963288 0.0388464 0.000445036
0 6.56 0.925803 0.0762022 0.000368117
0 6.72 0.841986 0.159821 0.000280534
0 6.88 0.669229 0.332188 0.000183777
0 7.04 0.414879 0.586714 9.23003e-05
0 7.2 0.203813 0.797793 3.58388e-05
0 7.36 0.0938588 0.907256 1.27955e-05
0 7.52 0.0466309 0.954422 5.02377e-06
0 7.68 0.0282228 0.972598 2.59833e-06
0 7.84 0.0207932 0.979759 1.76404e-06
0.16 0 0.0122216 0.988186 6.76139e-07
0.16 0.16 0.0142645 0.986249 8.33335e-07
0.16 0.32 0.0218734 0.978855 1.4747e-06
0.16 0.48 0.0385741 0.962459 3.258e-06
0.16 0.64 0.0738608 0.927381 8.34763e-06
0.16 0.8 0.150576 0.850936 2.33292e-05
0.16 0.96 0.308338 0.693419 6.40215e-05
0.16 1.12 0.550867 0.450942 0.000147026
0.16 1.28 0.768775 0.233007 0.000254703
0.16 1.44 0.891327 0.110446 0.000356878
0.16 1.6 0.947821 0.0538884 0.000445051
0.16 1.76 0.972919 0.0286493 0.000513928
0.16 1.92 0.98329 0.018079 0.000553745
0.16 2.08 0.985159 0.0159154 0.000556116
0.16 2.24 0.97989 0.0208876 0.000520619
0.16 2.4 0.96509 0.0356021 0.000455801
0.16 2.56 0.931813 0.0691697 0.000373876
0.16 2.72 0.857048 0.144704 0.000283353
0.16 2.88 0.699914 0.302487 0.000186983
0.16 3.04 0.457258 0.543651 9.6861e-05
0.16 3.2 0.240328 0.759508 3.92952e-05
0.16 3.36 0.11664 0.883699 1.43483e-05
0.16 3.52 0.05807 0.942746 5.39034e-06
0.16 3.68 0.0310284 0.969813 2.27612e-06
0.16 3.84 0.0188544 0.981765 1.17993e-06
0.16 4 0.0149533 0.985508 8.76009e-07
0.16 4.16 0.0174851 0.982969 1.06748e-06
0.16 4.32 0.0278066 0.972751 1.96671e-06
0.16 4.48 0.051861 0.948926 4.64132e-06
0.16 4.64 0.10565 0.895672 1.26207e-05
0.16 4.8 0.22358 0.77854 3.57795e-05
0.16 4.96 0.43726 0.564476 9.09306e-05
0.16 5.12 0.680534 0.319924 0.000178014
0.16 5.28 0.843667 0.156803 0.000271336
0.16 5.44 0.924844 0.0761819 0.000358326
